id,name,pos,team_id,age,height,weight,ovr,pot,spd,acc,agi,str,awr,injury_status,morale,stamina,thp,tha_s,tha_m,tha_d,tup,rel,rr,cth,cit,pbk,rbk,iblk,oblk,mcv,zcv,prs,pmv,fmv,bsh,purs
1,Isaiah Adams,G,1,24,76,316,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Chigozie Anusiem,DB,1,24,73,200,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Andre Baccellia,WR,1,24,70,175,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Budda Baker,S,1,31,70,195,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Kyon Barrs,DT,1,23,74,290,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Jared Bartlett,LB,1,25,74,237,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Kelvin Beachum,OT,1,36,75,308,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Trey Benson,RB,1,24,72,220,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Joey Blount,SAF,1,26,73,195,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ekow Boye-Doe,CB,1,24,72,177,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Aaron Brewer,LS,1,36,77,232,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jacoby Brissett,QB,1,32,76,235,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Elliott Brown,LB,1,25,77,240,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Evan Brown,G,1,29,75,320,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Baron Browning,LB,1,27,75,255,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sean Murphy-Bunting,CB,1,29,72,195,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Jordan Burch,LB,1,25,76,279,0,0,0,0,0,0,0,OK,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
